category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
Vikarbureauer,,,,,Jobcenter Guldborgsund,"Dronningensgade 26, 4800 Nykøbing F",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"76 28 00 82,87 80 07 60",Vikarbureauet Medarbejderne ApS,"Værkstedsvej 12, Skrillinge, 5500 Middelfart",Not specified,,,http://www.medarbejderne.dk
Vikarbureauer,,,,60 40 84 09,Vikarbureauet Primær Sygeplejen ApS,"Mørkhøjvej 132, 2730 Herlev",Not specified,,,http://www.vikar-ps.dk
Vikarbureauer,Mobil,,,"98 63 33 95,40 95 33 95,98 63 33 95",PJ-tec v/ Preben Jensen,"Skolegade 37, Overlade, 9670 Løgstør",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"87 32 16 00,70 23 88 23,70 23 88 24,21 47 04 50",Pedersen &amp; HR Mæglerne v/ Allan Pedersen,"Edwin Rahrs Vej 50, 1. sal., 8220 Brabrand",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"75 80 23 44,75 80 23 58",Job4gruppen ApS,"Bredgade 22, 7160 Tørring",Not specified,,,Company site unknown
Vikarbureauer,,,,26 80 19 00,Fusager Strandberg Svejseservice I/S v/ Erik Fusager &amp; Claus S…,"Rolfsgade 69, 6700 Esbjerg",Not specified,,,Company site unknown
Vikarbureauer,,,,47 10 02 50,Human Values,"Dronning Dagmars Vej 108, 3650 Ølstykke",Not specified,,,Company site unknown
Vikarbureauer,,,,,Brøndum Service,"Skolegade 5, 9632 Møldrup",Not specified,,,Company site unknown
Vikarbureauer,,,,51 95 83 92,Zeker Vikar,"Charlotteager 18, Baldersbrønde, 2640 Hedehusene",Not specified,,,Company site unknown
Vikarbureauer,,,,,Næsborg A/S,"Holbergsvej 13, 4180 Sorø",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"24 41 58 70,21 16 95 47",Jobkonsulenterne.dk v/ Poul Erik Philipsen,"Ildfuglevænget 113, Hjallese, 5260 Odense S",Not specified,,,Company site unknown
Vikarbureauer,,,,50 91 68 28,Tinas Vikarservice,"Assensvej 167, Skrillinge, 5500 Middelfart",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"75 72 72 37,76 40 71 19,24 59 62 33,75 72 72 49",Vikargruppen Danmark A/S,"Dæmningen 56, 7100 Vejle",Not specified,,,http://www.vgd.dk/
Vikarbureauer,Fax,,,"43 61 06 11,70 20 46 41",H. J. Consulting ApS,"Blågårdsparken 7, 2670 Greve",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"25 77 82 36,20 26 08 02,22 30 68 22,25 77 82 37",Spencer Stuart International P/S,"Philip Heymans Alle 7, 2900 Hellerup",Not specified,,,Company site unknown
Vikarbureauer,,,,61 67 38 99,Rifbjerg-Konsulenterne v/ Niels Rifbjerg Møller,"Bragesvej 23, st. th., 3000 Helsingør",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"75 36 36 88,75 36 36 89",JobTeam A/S,"Nørregade 49, 6600 Vejen",Not specified,,,http://www.jobteam.dk
Vikarbureauer,Fax,,,"70 22 40 30,70 22 40 31",Iselection ApS,"Gammel Strand 44, 1202 København K",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"47 52 40 13,29 78 50 13",Bjørndals Mandskabsudlejning,"Østergade 27 A, Skuldelev, 4050 Skibby",Not specified,,,Company site unknown
Vikarbureauer,,,,,Bhl-Entreprise ApS,"Rodsøvej 9, Egsmark, 8400 Ebeltoft",Not specified,,,Company site unknown
Vikarbureauer,,,,26 15 89 64,CF Consult,"Fiskergade 2, Gylling, 8300 Odder",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"35 83 08 00,31 16 80 61,31 77 45 94,35 83 80 59",Flink Service ApS,"Rådmand Steins Allé 12, 2000 Frederiksberg",Not specified,,,http://www.flink-service.dk
Vikarbureauer,Tlf.,,,"55 99 32 00,55 99 18 24,55 99 35 51",Flexing A/S,"Grønnegade 3, 4720 Præstø",Not specified,,,http://www.Flexing.dk
Vikarbureauer,,,,60 68 34 65,Bom's vikarservice Bettina Astrup Pedersen,"Bredgade 27, 6830 Nørre Nebel",Not specified,,,Company site unknown
Vikarbureauer,,,,30 20 77 00,Studenterservice S.M.B.A,"Hjørringgade 21, 2100 København Ø",Not specified,,,Company site unknown
Vikarbureauer,,,,23 70 25 00,Jobtriumf.dk v/ Claus Rigall,"Egernvænget 311, Ullerød, 2980 Kokkedal",Not specified,,,Company site unknown
Vikarbureauer,,,,40 56 61 64,Voot Danmark ApS,"Præstefælledvej 42, 2770 Kastrup",Not specified,,,Company site unknown
Vikarbureauer,,,,,JOBDK Herning,"Østergade 25, 7400 Herning",Not specified,,,Company site unknown
Vikarbureauer,,,,26 83 20 42,Hals Vikarbureau ApS,"Indkildevej 2 B, 9210 Aalborg SØ",Not specified,,,Company site unknown
Vikarbureauer,,,,41 26 59 16,Anil &amp; Mathias Consulting I/S,"Kollegiebakken 15, 2800 Kgs. Lyngby",Not specified,,,Company site unknown
Vikarbureauer,,,,97 11 66 72,Erik Ankersen,"Højgade 48, Hammerum, 7400 Herning",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"70 20 22 02,70 20 22 49",Medpro Executive ApS,"Damsholtevej 3, Gunderød, 2970 Hørsholm",Not specified,,,http://www.medpro.dk
Vikarbureauer,Tlf.,,,"75 51 88 88,75 51 86 88,75 51 86 88,


    ,
                            ",Horton International A/S,"Centervej 2, Bramdrupdam, 6000 Kolding",Not specified,,,http://www.horton.dk
Vikarbureauer,Mobil,,,"43 96 86 66,40 35 51 41,43 96 77 68",PersonaleBureauet Max,"Jernbanevej 57, 2600 Glostrup",Not specified,,,http://www.personalebureauet.dk
Vikarbureauer,,,,97 56 88 89,Lindberg Industriservice,"Vestre Skivevej 104, Sjørup, 8800 Viborg",Not specified,,,Company site unknown
Vikarbureauer,,,,,Ilcon ApS,"Bredgade 31, 4. sal., 1260 København K",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"33 37 62 40,33 15 03 53,33 37 62 41,
									,
								",Vikargruppen Danmark,"Finsensvej 42, 2000 Frederiksberg",Not specified,,,http://www.vgd.dk
Vikarbureauer,,,,,Castingportalen.Dk ApS,"Snedkervej 5, 4600 Køge",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"45 54 05 40,70 26 06 22,30 48 45 05,61 60 85 91",Powercare A/S,"Sønderhøj 16, 1. sal., 8260 Viby J",Not specified,,,http://www.powercare.dk
Vikarbureauer,Fax,,,"36 34 79 00,36 34 79 19",Copenhagen Care A/S,"Havnegade 41, 1. sal., 1058 København K",Not specified,,,Company site unknown
Vikarbureauer,,,,72 22 33 00,Workindenmark East,"Skagensgade 37, 1. sal., Høje Taastrup, 2630 Taastrup",Not specified,,,Company site unknown
Vikarbureauer,,,,29 63 20 71,Troldebakken ApS,"Teglværksvej 4, Starreklinte, 4534 Hørve",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"97 40 20 02,30 30 20 43",Vianovo v/ Klaus Kristian Seerup,"Valmuevej 33, 7500 Holstebro",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"20 44 00 72,43 43 73 72,


    ,
                            ",Vikarassistancen,"Stadionvej 89, st. th., 2600 Glostrup",Not specified,,,http://www.vikarassistancen.dk
Vikarbureauer,Tlf.,,,"86 27 44 66,74 54 70 90,86 97 44 66,24 81 29 08",Jordy v/ Jordy Vincent,"Sandersvig Strandvej 32, Sandersvig, 6100 Haderslev",Not specified,,,Company site unknown
